Order_No,Time from Pickup to Arrival
Order_No_19248,1566
Order_No_2699,1601
Order_No_21486,1566
Order_No_19336,1521
Order_No_20374,1566
Order_No_9830,1566
Order_No_17505,1601
Order_No_23802,1601
Order_No_12736,1566
Order_No_6400,1521
Order_No_25920,1566
Order_No_24873,1566
Order_No_4511,1566
Order_No_13686,1566
Order_No_19317,1566
Order_No_2680,1521
Order_No_7097,1521
Order_No_22701,1566
Order_No_4881,1566
Order_No_6340,1521
Order_No_27915,1566
Order_No_768,1521
Order_No_28256,1566
Order_No_16940,1521
Order_No_4860,1521
Order_No_19055,1521
Order_No_21272,1566
Order_No_2131,1566
Order_No_26647,1521
Order_No_15717,1566
Order_No_7499,1521
Order_No_19277,1566
Order_No_21254,1566
Order_No_15403,1521
Order_No_3402,1521
Order_No_20766,1566
Order_No_14859,1521
Order_No_7290,1566
Order_No_15168,1521
Order_No_13427,1566
Order_No_20894,1566
Order_No_10827,1521
Order_No_9447,1566
Order_No_15217,1521
Order_No_2361,1566
Order_No_12210,1521
Order_No_15207,1521
Order_No_27745,1521
Order_No_18450,1521
Order_No_21282,1566
Order_No_2842,1566
Order_No_22280,1521
Order_No_15535,1521
Order_No_382,1566
Order_No_21070,1566
Order_No_2603,1566
Order_No_16558,1566
Order_No_24712,1566
Order_No_26578,1566
Order_No_21638,1566
Order_No_22046,1566
Order_No_23183,1566
Order_No_1786,1566
Order_No_17033,1601
Order_No_6084,1566
Order_No_5317,1566
Order_No_15332,1566
Order_No_1199,1521
Order_No_21864,1566
Order_No_611,1521
Order_No_18430,1521
Order_No_8474,1601
Order_No_6339,1566
Order_No_14947,1566
Order_No_16077,1566
Order_No_21778,1521
Order_No_19143,1566
Order_No_25000,1566
Order_No_340,1521
Order_No_8955,1521
Order_No_6197,1566
Order_No_1974,1566
Order_No_22457,1521
Order_No_24241,1566
Order_No_23433,1521
Order_No_21373,1521
Order_No_15311,1601
Order_No_12748,1566
Order_No_11668,1521
Order_No_9978,1566
Order_No_17127,1521
Order_No_14906,1601
Order_No_19354,1566
Order_No_15209,1566
Order_No_12025,1601
Order_No_26437,1601
Order_No_4137,1566
Order_No_12169,1601
Order_No_104,1521
Order_No_2403,1521
Order_No_8736,1521
